Ticker,mean,std,Return,Risk,sharpe,Name
BIVOPRAA.CO,0.007636021180490553,0.0003640859279803423,9.56,0.001,20.97312912599807,BankInvest Optima Rente Akk. A
PMIFRKLN.CO,0.0024524680450507337,0.0006073125769161299,2.98,0.002,4.038230292387672,Fairrente KL n
SSIGEHYEURR.CO,0.00651780836584601,0.002513771073223759,8.11,0.009,2.5928408657703725,Sparinvest SICAV - Value Bonds - Global Ethical High Yield Fund
SSIGCBEURR.CO,0.013969763893027537,0.007651705535094749,18.11,0.027,1.8257058937977746,Sparinvest SICAV Gl Conv Bonds EUR R
SPIMRA.CO,0.005540121949306567,0.004061730994223112,6.85,0.014,1.3639805189428176,Sparinvest Mix Rente KL A
WEIMGA.CO,0.031315850745631646,0.027214343769700118,44.78,0.094,1.1507112209149817,Investin K Invest Globale Aktier
FPIOBL.CO,0.003692745268609019,0.003412456045342695,4.52,0.012,1.082137094087662,Formuepleje - Obligationer
SPVIEMBLAKKKLA.CO,0.019987484475382768,0.01945087958177966,26.81,0.067,1.0275876929548093,Sparindex INDEX Em MarkBo Lokva
BAIKOA.CO,0.006507268260091198,0.0070315684713855384,8.09,0.024,0.9254362361074997,BankInvest Emerging Markets Korte Obli A
SSIPEURR.CO,0.01573093404002414,0.018417613409742024,20.6,0.064,0.8541244563045958,Sparinvest SICAV - Procedo
SYIVOHYADKK.CO,0.010173936456069791,0.01218604149522491,12.92,0.042,0.8348844421756187,Sydinvest Virksomhedsobligationer HY KL
NDIKOLKL1.CO,0.004161272156940054,0.005424420022413635,5.11,0.019,0.7671367887711,Nordea Invest - Korte obligationer Lagerbeskattet
SYVFKUDA.CO,0.004151543528253791,0.005418818759095874,5.1,0.019,0.7661344128340016,Sydinvest Formue Konservativ Udb A
BAIKHYORLA.CO,0.0034556359752738234,0.004679336859564613,4.23,0.016,0.7384883967501651,BankInvest Korte HY Obli Royal London A
BAIKDKOAKA.CO,0.003391383110636909,0.0046919682401678,4.15,0.016,0.7228060671006635,BankInvest - Korte Danske Obligationer Akk. KL
MAJDCS.CO,0.02328201475425719,0.03254885921666535,31.81,0.113,0.7152943394813838,Maj Invest UCITS ETF Defence & Cybersec
SYVFVOUA.CO,0.01170862366349152,0.018448021646412554,14.99,0.064,0.634681804255602,Sydinvest Formue Vækstorienteret Udb A
SYIKOADKK.CO,0.003701572163419566,0.005853050985068865,4.53,0.02,0.6324175499004326,Sydinvest Korte Obligationer KL
SYVFBUA.CO,0.006702520054274626,0.010615240664638013,8.35,0.037,0.6314053789286544,Sydinvest Formue Balanceret Udb A
SKIKON.CO,0.019741797117031716,0.031306733351418724,26.44,0.108,0.6305926873758957,SKAGEN Kon-Tiki A
SPIVHYKLA.CO,0.011056571408507443,0.017736179715620866,14.11,0.061,0.6233908082680025,Sparinvest - Value Virksomhedsobligationer Global Højrente Udb. KL
SYVFOUA.CO,0.013843868356431942,0.02231711888895948,17.94,0.077,0.6203250708710726,Sydinvest Formue Offensiv Udb A
PFINV.CO,0.031594963471455954,0.0519143900700773,45.25,0.18,0.6085974125633969,Papirfabrikken Invest A/S
PMICTBKLN.CO,0.004071555542841639,0.007011026726910923,5.0,0.024,0.5807359893827673,PortfolioMan ClimateTransitionB
BIVORA.CO,0.004656777803586629,0.008325032325518435,5.73,0.029,0.5593705371344166,BankInvest Optima Rente A
SSIBDKKR.CO,0.009710142193525872,0.018213479405365853,12.3,0.063,0.533129446461788,Sparinvest SICAV - Balance
MAJGANF.CO,0.021331702286287856,0.04004476389222974,28.83,0.139,0.5326964180309987,Maj Invest Globale Aktier non fossil
IAIACG.CO,0.009258344990037625,0.018457454551081373,11.69,0.064,0.5016046478356466,IA Invest Advice Capital Global
SSIEUVEURR.CO,0.019022885501192917,0.03931064600578671,25.37,0.136,0.4839118008488759,Sparinvest SICAV - European Value
BAIMDOA.CO,0.004792888689439762,0.009931805962362416,5.91,0.034,0.48257977527983315,BankInvest Mellemlange Danske Obligationaer
WEIOS.CO,0.006711596656978824,0.01453752058852424,8.36,0.05,0.4616740947061417,Wealth Invest Optimal Stabil
BAIKDOBA.CO,0.0026727361742079187,0.005948541785069782,3.25,0.021,0.44930947293943657,BankInvest Korte Danske Obligationer
FPIGHY.CO,0.005848954468631168,0.013095912784936442,7.25,0.045,0.446624421274317,Formuepleje - Global High Yield
DJUR.CO,0.02203719673216792,0.052992256696802784,29.9,0.184,0.4158569214791999,Djurslands Bank A/S
SDIKON.CO,0.0054941698570691935,0.014219781514879863,6.8,0.049,0.38637512477389224,Investeringsforeningen Jutlanderinvest - Konservativ
PAAL-B.CO,0.027131357888626233,0.07042007424892092,37.88,0.244,0.3852787458406007,Per Aarsleff Holding A/S
DANSKE.CO,0.028614924978658314,0.07773764389146265,40.29,0.269,0.3680961185112645,Danske Bank A/S
SYIMEGADKK.CO,0.015682717557516376,0.04303991224121571,20.53,0.149,0.3643761508997306,Sydinvest Verden Ligevægt & Value KL
ZEAL.CO,0.05511910600950536,0.15298128516833603,90.38,0.53,0.36029966638634225,Zealand Pharma A/S
SYIGEAADKK.CO,0.014052595116395176,0.03973009311376363,18.23,0.138,0.3537015399424513,Sydinvest Globale EM-Aktier KL
NDIKOKL1.CO,0.0020058947728727895,0.005738231003850688,2.43,0.02,0.3495667517614256,Nordea Invest - Korte obligationer Fund
UIE.CO,0.015330034934255837,0.04458166645370602,20.03,0.154,0.3438641072373253,UIE Plc
BAIGOAA.CO,0.006714086883050811,0.019681519062308937,8.36,0.068,0.3411366196783363,BankInvest Globale Obligationer
SPIVEMKLA.CO,0.0114533065782644,0.034003700035391805,14.64,0.118,0.33682530331533167,Sparinvest Value Emerging Markets KL
BAILDKOAA.CO,0.0033872443121214417,0.01008042139117143,4.14,0.035,0.3360220947794937,BankInvest Lange Danske Obl Akk. A
DAB.CO,0.01241929464826912,0.03804189453543935,15.96,0.132,0.3264636212242127,Danske Andelskassers Bank A/S
SYIHRLADKK.CO,0.005640627174231263,0.01749221698180401,6.98,0.061,0.3224649671393187,Sydinvest HøjrenteLande A DKK
SYDB.CO,0.02392412007360811,0.07492480447925874,32.8,0.26,0.31930840847547315,Sydbank A/S
GUBRA.CO,0.07978203883720562,0.2596009979935073,151.21,0.899,0.30732562453092344,Gubra A/S
DKIKO.CO,0.002402192045731052,0.007893174760714161,2.92,0.027,0.304337876526847,Danske Invest Danske Korte Obl KL DKK d
WEIOVM.CO,0.006354736149800707,0.0212215249635448,7.9,0.074,0.2994476674375254,Wealth Invest Optimal VerdensIndex Mod
SKAKO.CO,0.028256038289330893,0.0952301075730489,39.71,0.33,0.2967132875247076,SKAKO A/S
PARKEN.CO,0.02055586707450712,0.07002571802155974,27.66,0.243,0.29354739451837275,PARKEN Sport & Entertainment A/S
DKIGOM.CO,0.004282466887289279,0.014796943535688603,5.26,0.051,0.2894156402611417,Investeringsforeningen Danske Invest - Globale Obligationsmarkeder KL
NDIGSEKL1.CO,0.005379403686289437,0.018639357444011295,6.65,0.065,0.2886045671074249,Investeringsforeningen Nordea Invest - Global Small Cap Enhanced
DKINVO.CO,0.0026086890948620067,0.009237910206217783,3.18,0.032,0.2823895271363614,Danske Invest Nordiske Virks obl DKK h
MAJGRO.CO,0.0027739034425873863,0.009924100428038953,3.38,0.034,0.2795118270619438,Maj Invest Grønne Obligationer
PMIH3I.CO,0.022448846202992,0.08067826767716961,30.53,0.279,0.2782514653490086,Investeringsforeningen PortfolioManager Afdeling Horizon3 Innovation Kl
WEISTS.CO,0.0035454078798194204,0.012857414653429693,4.34,0.045,0.27574811697262086,Wealth Invest Strategi Stabil
NDIVOBKL1.CO,0.0036190265353779967,0.013198029088953022,4.43,0.046,0.27420961955654305,Nordea Invest - Virksomhedsobligationer
WEISSA.CO,0.015041346236008765,0.05579190447681053,19.62,0.193,0.26959728973332653,Investeringsforeningen Wealth Invest - Secure Select Aktier
BIV75A.CO,0.008883521912963396,0.03303272679121968,11.2,0.114,0.2689309292905452,BankInvest Optima 75 Akk. KL
BAIVOHYJYCAPA.CO,0.0035687981279523616,0.01354563366804849,4.37,0.047,0.2634648341605798,BankInvest Virksomobl HY Jyske Capital A
NDISTABKL1.CO,0.004983131466596278,0.01901465311455599,6.15,0.066,0.26206796603518473,Nordea Invest Stabil Balanceret
SPIEUVKL.CO,0.01066725408850914,0.04080390688775196,13.58,0.141,0.2614272725857805,Sparinvest INDEX Europa Value KL
VJBA.CO,0.013383868842857135,0.05125582583113201,17.3,0.178,0.26111897771292913,Vestjysk Bank A/S
SDIBAL.CO,0.004724635160550234,0.018631866440569595,5.82,0.065,0.2535782003172087,Investeringsforeningen Spardanmark Invest Balance Fund
BAIGASCTAA.CO,0.01215594723176812,0.0481619943608357,15.6,0.167,0.2523970901348943,BankInvest Glb Akt Sel ColumThr
PMIPCSPKLNO.CO,0.007915191908528754,0.032092919127555804,9.92,0.111,0.24663359157417897,PP Capital - StockPick KL
DKIJAP.CO,0.008380437005669355,0.03440652792291665,10.53,0.119,0.243571133490849,Danske Invest Japan KL DKK d
STIINM.CO,0.009673073462008302,0.03986431944225883,12.25,0.138,0.24264990842297438,Storebrand Indeks - Nye Markeder
MAJBPI.CO,0.005514829211080692,0.02290056862762403,6.82,0.079,0.24081625660719955,Maj Invest Big Picture
RILBA.CO,0.013733109517210877,0.05706382925814213,17.78,0.198,0.24066224955016272,Ringkjøbing Landbobank A/S
BAIVOIGAKA.CO,0.0036891030813602484,0.015356671500527837,4.52,0.053,0.24022803907952625,BankInvest - Virksomhedsobligationer IG Akk. KL
SPIMLRKLA.CO,0.003562277603012339,0.015163587248929668,4.36,0.053,0.23492314480294132,Sparinvest Mix Lav Risiko KL
SKJE.CO,0.019703397502116613,0.08399320527506585,26.38,0.291,0.23458323131723308,Skjern Bank A/S
DKIEAUHU.CO,0.007803036024510722,0.033389381661139604,9.78,0.116,0.2336981290549721,Investeringsforeningen Danske Invest - Europa Højt Udbytte KL
DKIEUIXBNP.CO,0.010064255345067613,0.04319108356327747,12.77,0.15,0.23301696819721804,Danske Inv Europa Indeks BNP KL DKK d
SYIMEGADKKAKK.CO,0.009182374909716398,0.039558567947799356,11.59,0.137,0.23212101413360728,Sydinvest Verden Ligevægt & Value KL
DKIEUHYOAKKDKKH.CO,0.0046814515610412956,0.02021197568035459,5.76,0.07,0.23161771194844255,Danske Invest Euro HY-Obl - Akk
NYIKO.CO,0.0024941615685807996,0.010776948183213049,3.03,0.037,0.23143486691955015,Nykredit Invest Korte Obligationer KL
SYIVOHYADKKAK.CO,0.005200546385294242,0.022587247230610903,6.42,0.078,0.23024259362806762,Sydinvest Virksomhedsobl HY A DKK Akk
ROCK-A.CO,0.027999694621644946,0.12166692007261785,39.29,0.421,0.2301339970218126,Rockwool A/S
WEIITOBL.CO,0.001040045464809365,0.004581144270954737,1.26,0.016,0.2270274418999281,Wealth Invest I&T Obligationer 
DKIEUHUAKLDKK.CO,0.007862423704445854,0.0346950219655772,9.85,0.12,0.22661532574461513,Danske Inv Europa Højt Udbyt Akk KL DKK
ROCK-B.CO,0.028369512737855467,0.12596388732028524,39.89,0.436,0.22521941281250724,Rockwool A/S
NYIKOA.CO,0.002458675226927959,0.010940029537148337,2.99,0.038,0.22474118726820597,Nykredit Invest Korte Obligation Akk KL
SPVIGAMRAKL.CO,0.006912351393024374,0.030957420292326374,8.62,0.107,0.22328576889650542,Sparinvest INDEX Glb Akt Min Risk Akk KL
BXIUSAAIA.CO,0.009686613716885511,0.04426227396487314,12.26,0.153,0.2188458217165453,BIX USA Aktier Indeks A
MAJGO.CO,0.003887618495871043,0.017821711175997224,4.77,0.062,0.21813946244999163,Maj Invest Globale Obligationer
GDIIND.CO,0.007646289175009379,0.0352344701672021,9.57,0.122,0.2170116121719606,Great Dane INDEX+
NKT.CO,0.01970022763055279,0.09300146288036663,26.38,0.322,0.21182707261168973,NKT A/S
SPIUSGKL.CO,0.012980329599244037,0.062388147686385294,16.74,0.216,0.20805762120866236,Sparinvest INDEX USA Growth KL
GRIEHY.CO,0.004286696438772896,0.02061446261724571,5.27,0.071,0.2079460676887458,Gudme Raaschou European High Yield
SPISOKLA.CO,0.0017902790138483889,0.00868968251349123,2.17,0.03,0.20602352399743928,Sparindex INDEX Stabile Obligationer KL A
SPILOLKLA.CO,0.0032041873837323665,0.015609958472414394,3.91,0.054,0.2052655930760317,Sparinvest - Lange Obligationer KL
NEXCOM.CO,0.026917148822504094,0.13158280679202394,37.54,0.456,0.20456433084793957,Nexcom A/S
PNDORA.CO,0.024696744106677635,0.12145328862195681,34.01,0.421,0.20334356020239422,Pandora A/S
NRDF.CO,0.010803637741884003,0.05416061211509751,13.76,0.188,0.1994740701771434,Nordfyns Bank A/S
HARB-B.CO,0.027423655437924372,0.1394120755944551,38.35,0.483,0.1967093260823319,Harboes Bryggeri A/S
MTHH.CO,0.023151975385149057,0.11921461496962209,31.61,0.413,0.19420417027768427,MT Højgaard Holding A/S
MAJEMV.CO,0.007591359472471947,0.03935003553411814,9.5,0.136,0.1929187450387413,Maj Invest - Investeringsforeningsbevis
ALMB.CO,0.01357319534257854,0.07047231617254528,17.56,0.244,0.19260322463853413,Alm. Brand A/S
SPVIMRKL.CO,0.003853796775511154,0.020114181330186876,4.72,0.07,0.19159600444326655,Sparinvest INDEX Mellem Risiko KL
BAIGASCTA.CO,0.009884412194352318,0.05161470798683377,12.53,0.179,0.19150378990565442,BankInvest Glb Akt Sel ColumThr
MAJDKO.CO,0.003163331658356565,0.016724438457819034,3.86,0.058,0.18914426731485504,Maj Invest Danske Obligationer
SPIKOOKLA.CO,0.0016466782332043974,0.008741305454368683,1.99,0.03,0.18837898318510646,Sydinvest Korte Obligationer KL
MATAS.CO,0.014855886783771874,0.0796068290843998,19.36,0.276,0.1866157332811428,Matas A/S
SVITZR.CO,0.021402441827361063,0.11478613521835752,28.93,0.398,0.18645493888828318,Svitzer Group A/S
WEIOAV.CO,0.007067187534970927,0.03803027866537412,8.82,0.132,0.18583054826273135,Investin - Othania Etisk Formuevækst KL
NDIGLENHKL1.CO,0.0077323221628672854,0.042129630751696526,9.68,0.146,0.18353643326332528,Investeringsforeningen Nordea Invest - Global Enhanced
SDIOFF.CO,0.0049608664761186146,0.02719749698943726,6.12,0.094,0.1824015819560629,Investeringsforeningen Jutlanderinvest - Offensiv
