Ticker,mean,std,Return,Risk,sharpe,Name
INF1T.TL,0.04363962144832485,0.08026146720432799,66.96,0.278,0.5437182120933325,AS Infortar
TAL1T.TL,0.006760701422300631,0.04632634369789668,8.42,0.16,0.14593643449153926,AS Tallink Grupp
TKM1T.TL,0.0037334171759935294,0.025866165247571328,4.57,0.09,0.1443359361644871,TKM Grupp AS
EFT1T.TL,0.0016615109715063425,0.029693031478856022,2.01,0.103,0.05595625939000134,EfTEN Real Estate Fund AS
PKG1T.TL,0.00423151198436237,0.10566525271815524,5.2,0.366,0.04004639061101037,AS Pro Kapital Grupp
NCN1T.TL,0.0001861948077872873,0.07514333829268866,0.22,0.26,0.002477861804090274,Nordecon AS
CPA1T.TL,-0.0007617794120726065,0.05216837518477728,-0.91,0.181,-0.014602321988645979,Coop Pank AS
EGR1T.TL,-0.0017635870090905348,0.05706272025210905,-2.1,0.198,-0.030906115258768307,Enefit Green AS
TSM1T.TL,-0.002219201573505523,0.03616137816712835,-2.63,0.125,-0.06136938595782935,AS Tallinna Sadam
TPD1T.TL,-0.005032318718471506,0.07422345613120465,-5.87,0.257,-0.06779957416124475,AS Trigon Property Development
HPR1T.TL,-0.013692234141378618,0.10605065795973573,-15.25,0.367,-0.12911031769908632,Hepsor AS
TVE1T.TL,-0.0036476488513881404,0.023997288899725383,-4.29,0.083,-0.15200253939643502,AS Tallinna Vesi
ARC1T.TL,-0.005216650190863969,0.032720107501165295,-6.08,0.113,-0.15943255047918725,Arco Vara AS
SKN1T.TL,-0.016538043885140703,0.07236934591626741,-18.14,0.251,-0.22852277681596717,Nordic Fibreboard AS
EEG1T.TL,-0.011099907057147052,0.04376830297314456,-12.54,0.152,-0.2536060642780177,AS Ekspress Grupp
NHCBHFFT.TL,-0.03081157229142577,0.0857832465654691,-31.31,0.297,-0.3591793680588974,Baltic Horizon Fund
PRF1T.TL,-0.04931590886793647,0.08413994103835268,-45.5,0.291,-0.5861177017637472,AS PRFoods
