Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
ACS.MC,0.028515311017362432,0.04977600161791392,40.13,0.172,0.572872671377848,0.49751372624651313,0.498,Yes,"ACS, Actividades de Construcción y Servicios, S.A."
SCBYT.MC,0.1089745345308623,0.19293610734858319,245.99,0.668,0.5648218782292258,,,,"ByteTravel, S.A."
YGOP.MC,0.0064581960206541045,0.012053242211563285,8.03,0.042,0.5358057116332094,-0.01457253838084916,0.015,No,"Gop Properties Socimi, S.A."
LOG.MC,0.021642894217304393,0.04319516728028075,29.3,0.15,0.501048973299953,0.2990153048119775,0.299,Yes,"Logista Integral, S.A."
ART.MC,0.030008879793080995,0.06562633472843109,42.59,0.227,0.45726886801252886,0.3337013727492131,0.334,Yes,"Arteche Lantegi Elkartea, S.A."
MVC.MC,0.023551660060205,0.05470951650699984,32.23,0.19,0.4304856186618222,0.7579377602655593,0.758,Yes,Metrovacesa S.A.
CABK.MC,0.02871232822708797,0.0692547201942135,40.45,0.24,0.41459019900115046,0.6258111364218102,0.626,Yes,"CaixaBank, S.A."
ENO.MC,0.02480045271167113,0.06031430081807179,34.18,0.209,0.411186938674422,0.6246124605075357,0.625,Yes,"Elecnor, S.A."
FER.MC,0.019620424574939052,0.047796285776095654,26.26,0.166,0.41050103070460364,0.605695874499091,0.606,Yes,Ferrovial SE
BBVA.MC,0.034193773772456075,0.08402284584338819,49.7,0.291,0.4069580532441202,1.4257835481420646,1.426,Yes,"Banco Bilbao Vizcaya Argentaria, S.A."
ITX.MC,0.02602998028002215,0.06794604193723834,36.12,0.235,0.3830978161180603,1.0096293773180856,1.01,Yes,"Industria de Diseño Textil, S.A."
SAB.MC,0.044344265803012727,0.11864144524920774,68.32,0.411,0.37376707363828116,1.5282427799733043,1.528,Yes,"Banco de Sabadell, S.A."
XPBRA.MC,0.3012954873531178,0.8315231908579399,2257.82,2.88,0.3623416528434407,0.5715847526863624,0.572,Yes,Petróleo Brasileiro S.A. - Petrobras
CCEP.MC,0.016715997090759986,0.04927275770099004,22.01,0.171,0.3392543439967459,0.3877820033567192,0.388,Yes,Coca-Cola Europacific Partners PLC
SAN.MC,0.027438840475956884,0.0823914380322911,38.38,0.285,0.33303024114232566,1.3961397714269526,1.396,Yes,"Banco Santander, S.A."
ALQ.MC,0.02351373040275306,0.07179720671096103,32.17,0.249,0.3275020224312334,-0.04327786636174885,0.043,No,"Alquiber Quality, S.A."
SCO.MC,0.023223431122271074,0.07112408830231871,31.72,0.246,0.3265199129661669,,,,Seresco S.A.
XBBAR.MC,0.08203920368339729,0.2517804637519189,157.58,0.872,0.32583625616096684,,,,Banco BBVA Argentina S.A.
BKT.MC,0.024594932568291147,0.077141674507905,33.85,0.267,0.3188280877383704,0.5441868693156685,0.544,Yes,"Bankinter, S.A."
GCO.MC,0.01928502090652394,0.06092243199121253,25.76,0.211,0.3165504113379062,0.38088870738962766,0.381,Yes,"Grupo Catalana Occidente, S.A."
A3M.MC,0.021943306262895073,0.07037711233138305,29.75,0.244,0.31179605891715395,1.0542543696103468,1.054,Yes,"Atresmedia Corporación de Medios de Comunicación, S.A."
XPBR.MC,0.5595190999619906,1.9060478656481903,20596.09,6.603,0.2935493436686149,-4.175629288590633,4.176,No,Petróleo Brasileiro S.A. - Petrobras
XBRPO.MC,0.05435415210657665,0.18718570251482633,88.73,0.648,0.2903755542027653,1.6146013409202336,1.615,Yes,Bradespar S.A.
HOME.MC,0.019265008175233918,0.06774414962435665,25.73,0.235,0.28437892101471446,0.0686785511507303,0.069,Yes,"Neinor Homes, S.A."
XVALO.MC,0.031255704199634235,0.11261564364586707,44.68,0.39,0.2775431830583095,0.7727605451543981,0.773,Yes,Vale S.A.
AENA.MC,0.01837910503190043,0.06656732512852796,24.43,0.231,0.27609799547171404,1.082364977645752,1.082,Yes,"Aena S.M.E., S.A."
^IBEX,0.012742268001751223,0.04742807083259168,16.41,0.164,0.26866511283429595,1.0,1.0,Yes,IBEX 35
DESA.MC,0.004530033084295391,0.01690159257690077,5.57,0.059,0.2680240375978853,-0.02423720692024784,0.024,No,"Desarrollos Especiales de Sistemas de Anclaje, S.A."
YKTS.MC,0.0191723354262316,0.0752197391068643,25.59,0.261,0.2548843648472851,,,,"Ktesios Real Estate Socimi, S.A."
YARP.MC,0.00204305238350239,0.008072725257788347,2.48,0.028,0.2530808764402465,-0.0001211914981705444,0.0,No,"ARRIENDA Rental Properties SOCIMI, S.A."
VIS.MC,0.010762277240231951,0.042999351655437494,13.71,0.149,0.25028929102169395,0.23095700929802127,0.231,Yes,"Viscofan, S.A."
AEDAS.MC,0.024002106493249385,0.10179628432663068,32.93,0.353,0.23578568365260313,0.9333924295818229,0.933,Yes,"Aedas Homes, S.A."
CBAV.MC,0.017736683119820112,0.07577038663474706,23.49,0.262,0.23408463263253773,0.7344439224151974,0.734,Yes,"Clínica Baviera, S.A."
IBG.MC,0.011429132037116088,0.050454067141606204,14.61,0.175,0.2265254851514482,0.5883050067215364,0.588,Yes,"Iberpapel Gestión, S.A."
ALC.MC,0.027866462028820753,0.12414392112124834,39.07,0.43,0.22446900160020128,0.20821528980855508,0.208,Yes,"Altia Consultores, S.A."
CAF.MC,0.015677232965109835,0.07184507008738379,20.52,0.249,0.21820888957366058,0.9200375419033135,0.92,Yes,"Construcciones y Auxiliar de Ferrocarriles, S.A."
XBBDC.MC,0.028980812557556794,0.1339500150108411,40.89,0.464,0.21635542597894641,0.5734033207374948,0.573,Yes,Banco Bradesco S.A.
TUB.MC,0.016620188560283064,0.08265760656046567,21.87,0.286,0.20107270524612963,1.0846178468204415,1.085,Yes,"Tubacex, S.A."
SCYR.MC,0.012511301298035477,0.06467213744735477,16.09,0.224,0.1934573649776163,1.1459869269710163,1.146,Yes,"Sacyr, S.A."
VID.MC,0.014123716021824186,0.0866773512808,18.33,0.3,0.16294586547838763,1.202346620162812,1.202,Yes,"Vidrala, S.A."
CLR.MC,0.021794649224071316,0.1360825020053982,29.53,0.471,0.16015761690806327,0.7942402737875816,0.794,Yes,"CLERHP Estructuras, S.A."
NZI.MC,0.007974281301640964,0.05089408965308099,10.0,0.176,0.15668383806445044,,,,"NZI Technical Protection, S.A."
NTH.MC,0.009179101414932283,0.05936083951981764,11.59,0.206,0.1546322708570831,0.45587058145683235,0.456,Yes,"Naturhouse Health, S.A."
EBRO.MC,0.005002104148083785,0.033471744890671666,6.17,0.116,0.14944258700650637,0.2425899262406293,0.243,Yes,"Ebro Foods, S.A."
AIR.MC,0.012175016289182468,0.08199231080686288,15.63,0.284,0.14848973238309318,1.0431617206522954,1.043,Yes,Airbus SE
ATSI.MC,0.00649533546984891,0.04385614782316146,8.08,0.152,0.1481054719178635,,,,"Aplicaciones y Tratamiento de Sistemas, S.A."
TRG.MC,0.032114693356944946,0.22452739347883666,46.13,0.778,0.14303240624388217,0.8052124107274958,0.805,Yes,"Tubos Reunidos, S.A."
MCM.MC,0.006772055760283145,0.04838821871585093,8.44,0.168,0.13995257399431335,0.2347134937978502,0.235,Yes,"Miquel y Costas & Miquel, S.A."
YORE.MC,0.002953435965836977,0.022591628116796922,3.6,0.078,0.1307314351390678,0.04523099114919257,0.045,Yes,"Olimpo Real Estate SOCIMI, S.A."
AI.MC,0.026016171090803824,0.21296599993608623,36.1,0.738,0.12216114825188812,2.1157530391131005,2.116,Yes,"Airtificial Intelligence Structures, S.A."
YIPS.MC,0.004434358234442554,0.03632253766766437,5.45,0.126,0.1220828311891374,-0.10900468370677076,0.109,No,"Inversa Prime SOCIMI, S.A."
RIO.MC,0.008521718770332011,0.07069646327541425,10.72,0.245,0.12053953444790733,0.27260037408650045,0.273,Yes,"Bodegas Riojanas, S.A."
AMS.MC,0.00878625843335267,0.07289251426268276,11.07,0.253,0.12053718440400656,1.1378813341648053,1.138,Yes,"Amadeus IT Group, S.A."
XALFA.MC,0.011716088146044863,0.10459734984094626,15.0,0.362,0.11201132881340381,0.12195378116885319,0.122,Yes,Alfa S.A.B. de C.V.
RED.MC,0.004797868457145245,0.0442460055015732,5.91,0.153,0.10843619447126483,0.5282091440413021,0.528,Yes,"Redeia Corporación, S.A."
ADX.MC,0.016099284011207728,0.16094071883588587,21.12,0.558,0.1000323853879667,2.103163292240393,2.103,Yes,"Audax Renovables, S.A."
NAT.MC,0.005155373642674951,0.05513629518733203,6.36,0.191,0.09350235856723715,0.01674424747282574,0.017,Yes,"Natac Natural Ingredients, S.A."
MRL.MC,0.006777867364725153,0.07802459849430224,8.44,0.27,0.08686834018402681,1.1309299418254555,1.131,Yes,"MERLIN Properties SOCIMI, S.A."
FCC.MC,0.008440099832340842,0.09915203191922924,10.61,0.343,0.08512281260374246,0.8465682882902785,0.847,Yes,"Fomento de Construcciones y Contratas, S.A."
IZER.MC,0.003332395671918793,0.03949251657671299,4.07,0.137,0.08438043358026369,-0.1992542586287011,0.199,No,"izertis, S.A."
TEF.MC,0.00489573550446935,0.05861064396307687,6.04,0.203,0.08352980232657965,0.7174275462603056,0.717,Yes,"Telefónica, S.A."
PHM.MC,0.01143485503458109,0.14279605838683768,14.62,0.495,0.08007822599419247,0.9500692817884514,0.95,Yes,"Pharma Mar, S.A."
EDR.MC,0.008466848498851437,0.12350835583838998,10.65,0.428,0.06855283953362849,1.5062233950554211,1.506,Yes,eDreams ODIGEO S.A.
NXT.MC,0.008001995182149639,0.11725545632867249,10.04,0.406,0.06824411786620552,0.6915820238342245,0.692,Yes,"Nueva Expresión Textil, S.A."
CIE.MC,0.004686372369075129,0.07272105051429298,5.77,0.252,0.06444313353468463,0.853307561608379,0.853,Yes,"CIE Automotive, S.A."
LDA.MC,0.004672555837769603,0.07849784346686815,5.75,0.272,0.05952463954938793,0.0738552464654244,0.074,Yes,"Línea Directa Aseguradora, S.A., Compañía de Seguros y Reaseguros"
ENC.MC,0.004633966427651427,0.08296655761356889,5.7,0.287,0.055853425294983654,0.7663164645027598,0.766,Yes,"ENCE Energía y Celulosa, S.A."
EIDF.MC,0.013571652257178232,0.25658859111806365,17.56,0.889,0.05289265667674808,0.7900478720375932,0.79,Yes,"Energía, Innovación y Desarrollo Fotovoltaico, S.A."
ECR.MC,0.0056610892723981746,0.11656987642816864,7.01,0.404,0.048563912443422605,0.5509533731870042,0.551,Yes,"Ercros, S.A."
EAT.MC,0.003735456690952815,0.08354017195991247,4.58,0.289,0.04471449607196534,0.2881942284880912,0.288,Yes,AmRest Holdings SE
RLIA.MC,0.0012027628132245105,0.030596345407167026,1.45,0.106,0.03931066920635462,0.16523183913628034,0.165,Yes,"Realia Business, S.A."
480S.MC,0.0032151597650696053,0.09887448367886997,3.93,0.343,0.03251758841555097,0.7935789163596475,0.794,Yes,Soluciones Cuatroochenta S.A.
ALM.MC,0.0018333667660307383,0.07133776041720917,2.22,0.247,0.025699808282577733,0.21241880015781167,0.212,Yes,"Almirall, S.A."
FDR.MC,0.001767853259583088,0.08840863031581149,2.14,0.306,0.019996387833042986,0.8916779054357282,0.892,Yes,"Fluidra, S.A."
MTS.MC,0.0015041970408493327,0.09530484733188052,1.82,0.33,0.01578300666713478,1.6528259479546026,1.653,Yes,ArcelorMittal S.A.
YNUM.MC,0.000162547179510763,0.016134170405879913,0.2,0.056,0.010074715676210074,-0.08953387645636779,0.09,No,"Numulae Gestión de Servicios SOCIMI, S.A."
OPTS.MC,0.00022459077435313564,0.023287299801849824,0.27,0.081,0.009644345899445813,,,,"Optare Solutions, S.A."
ROVI.MC,0.0006677316973179514,0.0936130219267343,0.8,0.324,0.007132893304529233,0.2525268954580375,0.253,Yes,"Laboratorios Farmaceuticos Rovi, S.A."
MEL.MC,0.0005496976124453167,0.0984636918969574,0.66,0.341,0.00558274427715525,1.3928122217824477,1.393,Yes,"Meliá Hotels International, S.A."
GAM.MC,0.0002662055302810563,0.06972853056188594,0.32,0.242,0.0038177418645699377,0.5212787503129404,0.521,Yes,"General de Alquiler de Maquinaria, S.A."
FACE.MC,-0.00010951270798284507,0.12559884362506799,-0.13,0.435,-0.0008719244924719011,1.3946649106844773,1.395,Yes,"Facephi Biometria, S.A."
TLGO.MC,-0.0007297245878885578,0.08860366492897497,-0.87,0.307,-0.008235828489414154,1.104041328249204,1.104,Yes,"Talgo, S.A."
LAB.MC,-0.0017773393230466079,0.1490612593738821,-2.11,0.516,-0.011923549623236485,,,,"Labiana Health, S.A."
ARM.MC,-0.0011881937037134622,0.08402990917560271,-1.42,0.291,-0.014140128382507439,0.4750828406185025,0.475,Yes,"Árima Real Estate SOCIMI, S.A."
ENER.MC,-0.0017568279418680068,0.09568196983578932,-2.09,0.331,-0.01836111803386885,0.7172859721929524,0.717,Yes,"Ecoener, S.A."
REP.MC,-0.0020484386780127823,0.06757858158079982,-2.43,0.234,-0.030311951362334853,0.6484053946789023,0.648,Yes,"Repsol, S.A."
SQRL.MC,-0.005998391496132336,0.13233808163078298,-6.97,0.458,-0.04532626906945475,0.888133816879905,0.888,Yes,"Squirrel Media, S.A."
GEST.MC,-0.0035822143075049653,0.0724135749496096,-4.21,0.251,-0.04946882280011337,1.0285438713233788,1.029,Yes,"Gestamp Automoción, S.A."
ENG.MC,-0.0026420519644281904,0.04897864099921772,-3.12,0.17,-0.053942941464431175,0.5828361831883548,0.583,Yes,"Enagás, S.A."
ANA.MC,-0.004084408703506248,0.07441976967275885,-4.79,0.258,-0.054883382755232246,0.8255898175869242,0.826,Yes,"Acciona, S.A."
COM.MC,-0.011830538909302546,0.15455375513626443,-13.31,0.535,-0.07654643459728293,1.1190268570323134,1.119,Yes,"Catenon, S.A."
GIGA.MC,-0.006978119378186902,0.09059048096199342,-8.06,0.314,-0.07702927839752303,0.6755313162782184,0.676,Yes,"Gigas Hosting, S.A."
DOM.MC,-0.005626348348297286,0.0636482187848904,-6.55,0.22,-0.08839757742965995,0.42497009392781426,0.425,Yes,"Global Dominion Access, S.A."
ENRS.MC,-0.013667908612144905,0.15460478677669773,-15.22,0.536,-0.08840546853110083,1.4796384673758338,1.48,Yes,"Enerside Energy, S.A."
SPH.MC,-0.030556791200236483,0.3247285428703591,-31.09,1.125,-0.0940994928568248,0.8551122424742366,0.855,Yes,"Profithol, S.A."
AGIL.MC,-0.016093402285568454,0.1191940928870397,-17.69,0.413,-0.13501845515801006,0.8455751324163779,0.846,Yes,"Agile Content, S.A."
ALNT.MC,-0.009549057127695361,0.05726889809699645,-10.88,0.198,-0.1667407169511469,0.4439547291812528,0.444,Yes,"Alantra Partners, S.A."
COXE.MC,-0.006776640064067209,0.03647803272280052,-7.84,0.126,-0.185773177944201,,,,"Cox Energy América, S.A.B. de C.V."
NYE.MC,-0.030328707167999205,0.1622884106025158,-30.9,0.562,-0.18688153427222637,0.4812058210232558,0.481,Yes,"Nyesa Valores Corporación, S.A."
GGR.MC,-0.012264213535241061,0.056036674992249326,-13.76,0.194,-0.2188604790869083,,,,Greening Group Global S.A.
ATRY.MC,-0.023368847957924845,0.0998204882739229,-24.7,0.346,-0.23410873220532746,0.9185820081849296,0.919,Yes,"Atrys Health, S.A."
ANE.MC,-0.018259326870960456,0.07618303980514596,-19.84,0.264,-0.23967705827520797,0.6582684482667847,0.658,Yes,"Corporación Acciona Energías Renovables, S.A."
SLR.MC,-0.027112786335107254,0.11076375638864316,-28.1,0.384,-0.2447803073775781,1.2148056442626898,1.215,Yes,"Solaria Energía y Medio Ambiente, S.A."
HLZ.MC,-0.04598497715117961,0.18120918391594454,-43.16,0.628,-0.2537673651933124,-0.455257341269463,0.455,No,"Holaluz-Clidom, S.A."
REN.MC,-0.02348862726510229,0.09153053408670789,-24.82,0.317,-0.25662067308436387,0.8414023287291008,0.841,Yes,"Renta Corporación Real Estate, S.A."
ELZ.MC,-0.026058826518297797,0.10107059487335464,-27.16,0.35,-0.2578279721312664,0.7759208019255064,0.776,Yes,"Asturiana de Laminados, S.A."
UBS.MC,-0.042062498263929514,0.16042731134942645,-40.29,0.556,-0.2621903833588114,0.18763926918021195,0.188,Yes,"Urbas Grupo Financiero, S.A."
SNG.MC,-0.019171966550828878,0.056261450625730826,-20.73,0.195,-0.3407655923834409,0.1022168379816764,0.102,Yes,"Singular People, S.A."
