Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
BLEKEDROS.AT,0.021214809514274208,0.018739207935799782,28.65,0.065,1.132108122550099,,,,Ble Kedros REIC
OPTIMA.AT,0.05067515970345052,0.07616458867894081,80.98,0.264,0.6653375352299642,,,,Optima bank S.A.
OPAP.AT,0.02091870128854326,0.041019807443172816,28.2,0.142,0.509965857775495,0.42744480651500594,0.427,Yes,Organization of Football Prognostics S.A.
PPA.AT,0.03166346274352247,0.06657295786509748,45.36,0.231,0.47562048854258315,0.5937786828334706,0.594,Yes,Piraeus Port Authority S.A.
BOCHGR.AT,0.03174856043800875,0.06684822413510354,45.51,0.232,0.47493498666237344,,,,Bank of Cyprus Holdings Plc
MODA.AT,0.058025431300993295,0.12248623901543423,96.77,0.424,0.47373020649022973,0.5339219271235125,0.534,Yes,N. Varveris-Moda Bagno S.A.
TITC.AT,0.03990329890005501,0.08463577846584132,59.92,0.293,0.47147080848508804,1.100309938305419,1.1,Yes,Titan Cement International S.A.
EEE.AT,0.027362929111157685,0.06131496286078823,38.26,0.212,0.44626837943755254,0.4019504219911765,0.402,Yes,Coca-Cola HBC AG
KRI.AT,0.030358783598944207,0.06945767917735082,43.17,0.241,0.43708318444425914,0.6974883276587618,0.697,Yes,Kri-Kri Milk Industry S.A.
ATRUST.AT,0.021682428819090067,0.04987480139293289,29.36,0.173,0.4347371460844033,0.2955274239031533,0.296,Yes,Alpha Trust Holdings S.A.
MYTIL.AT,0.033003176568198234,0.08143131689251605,47.65,0.282,0.40528850358345847,1.208647450833274,1.209,Yes,Metlen Energy & Metals S.A.
BELA.AT,0.026497364634397457,0.06740963727563483,36.87,0.234,0.3930797687881183,0.625074495472385,0.625,Yes,Jumbo S.A.
TPEIR.AT,0.0499522628051266,0.12716221636274255,79.49,0.441,0.3928231532441439,2.12480107009996,2.125,Yes,Piraeus Financial Holdings S.A.
INTEK.AT,0.02119886809090495,0.0547590286960682,28.62,0.19,0.3871300970031097,0.4846215812002532,0.485,Yes,Ideal Holdings S.A.
GD.AT,0.019942417712497645,0.052627268187033734,26.74,0.182,0.37893697316044694,1.0,1.0,Yes,ASE Composite Index
LAMPS.AT,0.01848827283706772,0.05034514161081612,24.59,0.174,0.36723052603542006,0.07043030295732483,0.07,Yes,Lampsa Hellenic Hotels S.A.
EKTER.AT,0.04896476785298739,0.13400994949332334,77.47,0.464,0.36538158575626445,0.723415493058175,0.723,Yes,Ekter SA
CENER.AT,0.034005951501138755,0.09578639962644758,49.37,0.332,0.35501857919033186,1.156406835004114,1.156,Yes,Cenergy Holdings SA
ASCO.AT,0.021117560933002388,0.060915681118472384,28.5,0.211,0.34666871559609946,0.565048384753974,0.565,Yes,As Commercial Industrial Company of Computers and Toys S.A.
ETE.AT,0.03401060871700497,0.09993788437288131,49.38,0.346,0.34031747750539665,1.753851513023557,1.754,Yes,National Bank of Greece S.A.
GCMEZZ.AT,0.0498402572479479,0.1465448848409799,79.26,0.508,0.34010233316591704,,,,Galaxy Cosmos Mezz Plc
EUROB.AT,0.030244863806957227,0.08899239721538253,42.98,0.308,0.33985896271293314,1.4887739650346636,1.489,Yes,Eurobank Ergasias Services and Holdings S.A.
EUROC.AT,0.023738243355538608,0.07159350865944938,32.52,0.248,0.3315697721766215,0.28145418332672884,0.281,Yes,Euroconsultants S.A.
MEVA.AT,0.023593224715115005,0.07394593383842553,32.29,0.256,0.31906047419276673,0.6990585571481951,0.699,Yes,Mevaco S.A.
NAKAS.AT,0.019324024361723518,0.0606945594855467,25.82,0.21,0.3183814912821829,0.4324589905308759,0.432,Yes,Philippos Nakas S.A.
