Ticker,mean,std,Return,Risk,sharpe,Name
YOII.JK,0.04808499519094452,0.01152986100365566,75.69,0.04,4.170474837094626,Asuransi Digital Bersama Tbk.
CASS.JK,0.048146508336680924,0.0959688178048385,75.82,0.332,0.5016890844127238,PT Cardig Aero Services Tbk
TOTL.JK,0.038939465075713955,0.08497675893197394,58.15,0.294,0.4582366468799544,PT Total Bangun Persada Tbk
NISP.JK,0.028524174372506077,0.06516756357299511,40.14,0.226,0.43770509143794745,PT Bank OCBC NISP Tbk
RSCH.JK,0.07946544391040919,0.18238910034414296,150.33,0.632,0.4356918464999767,PT Charlie Hospital Semarang Tbk
DSSA.JK,0.09740786221485954,0.22965524288306846,205.08,0.796,0.4241482188345069,PT Dian Swastatika Sentosa Tbk
BNGA.JK,0.026689289185934308,0.06479570327306963,37.17,0.224,0.41189905869926563,PT Bank CIMB Niaga Tbk
CUAN.JK,0.15770948261005344,0.3941443576933811,479.69,1.365,0.40013127051470126,PT Petrindo Jaya Kreasi Tbk
PDPP.JK,0.046381710032912464,0.11792482622179487,72.3,0.409,0.3933159074211991,PT Primadaya Plastisindo Tbk
FAPA.JK,0.011838997898672782,0.03101565748514822,15.17,0.107,0.38171036368781996,PT FAP Agri Tbk
TSPC.JK,0.024963540721216492,0.06746796708565359,34.43,0.234,0.3700058234973075,PT Tempo Scan Pacific Tbk
JRPT.JK,0.014941689851481898,0.042894495121644734,19.48,0.149,0.3483358367806563,"PT Jaya Real Property, Tbk."
NAIK.JK,0.22615662753809218,0.6557038242386541,1054.92,2.271,0.34490667764624594,Adiwarna Anugerah Abadi Tbk.
SRAJ.JK,0.12768117399506196,0.38216081027307514,322.9,1.324,0.33410326376434746,PT Sejahteraraya Anugrahjaya Tbk
PTMR.JK,0.006517043811451707,0.0195676763862977,8.11,0.068,0.3330514917967101,Master Print Tbk.
APLI.JK,0.03841525366026281,0.11543531616271983,57.2,0.4,0.33278596998956483,PT Asiaplast Industries Tbk
SILO.JK,0.029461342437673503,0.09398283295657553,41.68,0.326,0.3134757860649511,PT Siloam International Hospitals Tbk
AMMN.JK,0.06045712331429512,0.19299835840914312,102.26,0.669,0.31325200800998637,PT Amman Mineral Internasional Tbk
RDTX.JK,0.027487411169072003,0.0903167500857785,38.46,0.313,0.304344555610845,PT Roda Vivatex Tbk
POWR.JK,0.008971187967573712,0.029873884093152715,11.31,0.103,0.3003020276707161,PT Cikarang Listrindo Tbk
PANR.JK,0.0476270633475602,0.16023999919769294,74.78,0.555,0.29722331244398753,PT Panorama Sentrawisata Tbk
UNIQ.JK,0.09124162832303995,0.3093630382609335,185.14,1.072,0.29493383836656606,PT Ulima Nitra Tbk
BSSR.JK,0.02335513747707869,0.07937840815281716,31.92,0.275,0.2942253192091735,PT Baramulti Suksessarana Tbk
BIKE.JK,0.037596381677606205,0.12794264584956463,55.72,0.443,0.2938534014828187,PT Sepeda Bersama Indonesia Tbk
BBSS.JK,0.05417470929311076,0.18473304934764984,88.34,0.64,0.29325943291911544,PT Bumi Benowo Sukses Sejahtera Tbk
CLEO.JK,0.0414806700600527,0.14288273739271162,62.86,0.495,0.29031267749331774,PT Sariguna Primatirta Tbk
BUAH.JK,0.053222145220132036,0.1842111032162782,86.31,0.638,0.28891931208752974,PT Segar Kumala Indonesia Tbk
BEEF.JK,0.06634836562337244,0.23156636639199887,116.17,0.802,0.28651987184985656,PT Estika Tata Tiara Tbk
SUNI.JK,0.04931826997677982,0.1740019354646702,78.19,0.603,0.2834351804482861,PT Sunindo Pratama Tbk
AUTO.JK,0.028161642805625164,0.10123224890783804,39.55,0.351,0.2781884538716863,PT Astra Otoparts Tbk
TPIA.JK,0.04385931769614515,0.1690587608184186,67.38,0.586,0.2594323860166776,PT Chandra Asri Pacific Tbk
INPP.JK,0.028383666236798413,0.11012080844753727,39.91,0.381,0.2577502529898397,PT Indonesian Paradise Property Tbk
TPMA.JK,0.027313926783800596,0.10862436520593617,38.18,0.376,0.25145303939882474,PT Trans Power Marine Tbk
GEMS.JK,0.03112432334390912,0.12478534653885828,44.45,0.432,0.24942290266603517,PT Golden Energy Mines Tbk
ELSA.JK,0.01943972145764115,0.07836224933889467,25.99,0.271,0.24807508234698353,PT Elnusa Tbk
BRIS.JK,0.02634840222140953,0.10675961664397002,36.63,0.37,0.24680120676414716,PT Bank Syariah Indonesia Tbk
ELPI.JK,0.018423171103498164,0.07488802167903905,24.49,0.259,0.24600958458293418,PT Pelayaran Nasional Ekalya Purnamasari Tbk
PBSA.JK,0.01536648669416051,0.06324010293661088,20.08,0.219,0.24298642760849404,PT Paramita Bangun Sarana Tbk
SMMA.JK,0.008010624697726707,0.033780098314631496,10.05,0.117,0.23714036066783703,PT Sinar Mas Multiartha Tbk
PSAB.JK,0.035914535405870786,0.1534839023268092,52.72,0.532,0.23399545399490118,PT J Resources Asia Pasifik Tbk
MIDI.JK,0.02374951831989811,0.1028896389429484,32.53,0.356,0.23082516921909943,PT Midi Utama Indonesia Tbk
MAPA.JK,0.031652668279399034,0.13806493749343626,45.35,0.478,0.2292592808431455,PT Map Aktif Adiperkasa Tbk
BLUE.JK,0.015125098860857058,0.0662250530493277,19.74,0.229,0.2283893808222567,PT Berkah Prima Perkasa Tbk
KLAS.JK,0.04612560385614413,0.20465401829141144,71.79,0.709,0.22538332861104562,PT Pelayaran Kurnia Lautan Semesta Tbk
SMSM.JK,0.012996032134833115,0.06093162218214789,16.76,0.211,0.21328879273857196,PT Selamat Sempurna Tbk
EURO.JK,0.08029369586092598,0.3784546874606955,152.64,1.311,0.2121619800765842,PT Estee Gold Feet Tbk
PBID.JK,0.010989203054897489,0.052053505715307,14.01,0.18,0.21111360135857232,PT Panca Budi Idaman Tbk
KEEN.JK,0.02548640813038865,0.1219807068119348,35.26,0.423,0.2089380263198722,PT Kencana Energi Lestari Tbk
CLPI.JK,0.009207969644695915,0.04419046215255766,11.63,0.153,0.20837006892816518,PT Colorpak Indonesia Tbk
BBLD.JK,0.021333158230908696,0.1028375851183265,28.83,0.356,0.20744514961492375,PT Buana Finance Tbk
WOMF.JK,0.016811417009207043,0.08166177556322078,22.15,0.283,0.20586641538539666,PT Wahana Ottomitra Multiartha Tbk
KDSI.JK,0.01895043280669823,0.09212622999121076,25.27,0.319,0.20570073049234927,PT Kedawung Setia Industrial Tbk
GJTL.JK,0.02219002563142154,0.108239065229524,30.13,0.375,0.20500939826454487,PT. Gajah Tunggal Tbk
WINS.JK,0.03336274985102002,0.164326514636953,48.26,0.569,0.20302718599447225,PT Wintermar Offshore Marine Tbk
PEVE.JK,0.019021678172602408,0.09375196775723779,25.37,0.325,0.20289364188981415,PT. Penta Valent Tbk
DRMA.JK,0.02742274752017765,0.1355200372137245,38.35,0.469,0.20235197749340988,PT Dharma Polimetal Tbk
FMII.JK,0.09957005021998404,0.4928643492594055,212.37,1.707,0.2020232349318861,PT Fortune Mate Indonesia Tbk
CHIP.JK,0.08212741305435307,0.4075154050430787,157.83,1.412,0.2015320452626112,PT Pelita Teknologi Global Tbk
ADES.JK,0.024872457910613783,0.12367096536176682,34.29,0.428,0.20111800565198115,PT Akasha Wira International Tbk
SKRN.JK,0.030645467052776747,0.15247995462981404,43.65,0.528,0.20098030017897653,PT Superkrane Mitra Utama Tbk
SSIA.JK,0.03872527262218432,0.1938952452474276,57.76,0.672,0.19972265216079654,PT Surya Semesta Internusa Tbk
IKPM.JK,0.023179444806906122,0.11643529341741489,31.65,0.403,0.19907576239627733,Ikapharmindo Putramas Tbk.
INDF.JK,0.010281552548629091,0.052437322925923714,13.06,0.182,0.19607317793765833,PT Indofood Sukses Makmur Tbk
MEDC.JK,0.03212402007302757,0.16552481823361914,46.14,0.573,0.19407373719443227,PT Medco Energi Internasional Tbk
PNGO.JK,0.012481398430872894,0.06596569525334804,16.05,0.229,0.18921044313922258,PT PINAGO UTAMA Tbk
BREN.JK,0.05339191203909917,0.2944090989016315,86.67,1.02,0.1813527918746104,PT Barito Renewables Energy Tbk
GMTD.JK,0.03345326256643242,0.18525104631098085,48.42,0.642,0.18058339336056672,PT Gowa Makassar Tourism Development Tbk
ICBP.JK,0.011845003891230294,0.06564800042919677,15.18,0.227,0.18043205906942233,PT Indofood CBP Sukses Makmur Tbk
ADMF.JK,0.010022251292091926,0.05565618324030344,12.71,0.193,0.18007435488020151,PT Adira Dinamika Multi Finance Tbk
BABY.JK,0.04840352122585942,0.2738384303349727,76.34,0.949,0.17675941673580967,PT Multitrend Indo Tbk
PUDP.JK,0.035315243015626864,0.20008075090316407,51.66,0.693,0.1765049504073427,PT Pudjiadi Prestige Tbk
MEJA.JK,0.05776306778963137,0.33007776510427633,96.18,1.143,0.17499836067837887,Harta Djaya Karya Tbk.
BUMI.JK,0.035287706266841024,0.205674166988234,51.61,0.712,0.1715709210523251,PT Bumi Resources Tbk
DAAZ.JK,0.04918139645679624,0.2868587682809185,77.91,0.994,0.1714481197542942,Daaz Bara Lestari Tbk.
FILM.JK,0.04713856871183282,0.2765134529676098,73.8,0.958,0.1704747751182816,PT.MD Entertainment Tbk
MENN.JK,0.06739233089841283,0.40245518659497626,118.72,1.394,0.16745300630511012,PT Menn Teknologi Indonesia Tbk
OKAS.JK,0.050966347917429766,0.3045848801462037,81.58,1.055,0.16733052505090018,PT Ancora Indonesia Resources Tbk
CBPE.JK,0.011488136584812113,0.06915976580918713,14.69,0.24,0.1661101140294208,PT Citra Buana Prasida Tbk
FWCT.JK,0.04154689227309489,0.25071428962450804,62.98,0.868,0.16571409765003503,PT Wijaya Cahaya Timber Tbk
FUTR.JK,0.08389669174560305,0.5078561084246972,162.94,1.759,0.16519776045588885,PT Lini Imaji Kreasi Ekosistem Tbk
YULE.JK,0.008747839930529676,0.05319613608562029,11.02,0.184,0.16444502503809386,PT Yulie Sekuritas Indonesia Tbk
SATU.JK,0.031982228810137826,0.1948272433032429,45.9,0.675,0.16415686157586507,PT Kota Satu Properti Tbk
BMRI.JK,0.012733447170382805,0.07784779140233017,16.4,0.27,0.16356850902261644,PT Bank Mandiri (Persero) Tbk
MAPI.JK,0.018308418306250022,0.11245182942561899,24.32,0.39,0.16281120902848525,PT. Mitra Adiperkasa Tbk
BBCA.JK,0.007153837381669007,0.04413893156860525,8.93,0.153,0.1620754541951198,PT Bank Central Asia Tbk
MSTI.JK,0.008722976773392635,0.053972573361039784,10.98,0.187,0.16161869316554275,Mastersystem Infotama Tbk.
ITMA.JK,0.03651437739780009,0.22892856270749024,53.78,0.793,0.15950118659704227,PT Sumber Energi Andalan Tbk
IKBI.JK,0.0341006508465815,0.2187464634938871,49.54,0.758,0.15589120985964855,PT Sumi Indo Kabel Tbk
NICK.JK,0.024583160621110656,0.1591289066800845,33.83,0.551,0.15448582620210585,PT Charnic Capital Tbk
CFIN.JK,0.021587435966323305,0.14125438396738887,29.21,0.489,0.15282666179980053,PT. Clipan Finance Indonesia Tbk
BBRM.JK,0.019326806092928087,0.12675279849996626,25.82,0.439,0.15247636597888,PT Pelayaran Nasional Bina Buana Raya Tbk
CLAY.JK,0.0686752932266704,0.4557254033692839,121.9,1.579,0.15069445924878883,PT Citra Putra Realty Tbk
ARKO.JK,0.02073234651905949,0.1378060160280002,27.92,0.477,0.15044587396566908,PT. Arkora Hydro Tbk
IPCM.JK,0.004484776784701594,0.030211256808929686,5.52,0.105,0.14844721002722425,PT Jasa Armada Indonesia Tbk
REAL.JK,0.05603174603174603,0.3800993674034845,92.36,1.317,0.1474134156405133,PT Repower Asia Indonesia Tbk
VICI.JK,0.010718166846970847,0.07282678475678767,13.65,0.252,0.14717341816977417,PT Victoria Care Indonesia Tbk
AHAP.JK,0.041030299066637785,0.278965230853314,62.02,0.966,0.1470803330620525,PT Asuransi Harta Aman Pratama Tbk
ISAT.JK,0.01579873078843678,0.10764705499696695,20.7,0.373,0.14676417101129172,PT Indosat Ooredoo Hutchison Tbk
ASDM.JK,0.005679504253335088,0.038748029446915036,7.03,0.134,0.14657530549046457,PT Asuransi Dayin Mitra Tbk
DMAS.JK,0.008884140708293317,0.06120642411396564,11.2,0.212,0.14515046152265246,PT Puradelta Lestari Tbk
MKAP.JK,0.03669034963803573,0.2541646300164713,54.1,0.88,0.1443566307226068,Multikarya Asia Pasifik Raya Tb
LEAD.JK,0.025686228360665288,0.1788111081712381,35.57,0.619,0.14365007086733628,PT Logindo Samudramakmur Tbk.
MTLA.JK,0.012147415357579093,0.08472330204037178,15.59,0.293,0.14337750140794428,PT Metropolitan Land Tbk
PDES.JK,0.026152610396299587,0.18250782732013374,36.31,0.632,0.14329582889848202,PT Destinasi Tirta Nusantara Tbk
