Ticker,mean,std,Return,Risk,sharpe,Name
484870.KS,0.23727478385762935,0.10166498996685704,1187.05,0.352,2.3338888238220585,MNC Solution
487720.KQ,0.01996630947587185,0.010127520195773862,26.77,0.035,1.9714904626113352,Kiwoom No.10 SPAC
487360.KQ,0.014777630500152964,0.00958225028182391,19.25,0.033,1.542187906340112,Shinhan 14th SPAC
489480.KQ,0.012519761773044712,0.010536582339171863,16.1,0.036,1.1882184725591696,Kiwoom No.11 SPAC
064400.KS,0.043456513939598596,0.04244461319567732,66.61,0.147,1.0238404986577738,LG CNS
382150.KQ,0.19984300728556992,0.19907426867110872,790.21,0.69,1.00386156693978,Oncocross
463480.KQ,0.0647979936997278,0.07068688946956446,112.43,0.245,0.9166904101449784,MOTIVELINK
482690.KQ,0.00594746101234787,0.006778556211145251,7.38,0.023,0.8773934783588723,Daishin Balance No.19 Special Purpose Acquisition Co Ltd
163280.KQ,0.08518212248881891,0.11182198515803922,166.71,0.387,0.7617654289398467,AIRRANE
466100.KQ,0.13885257943235277,0.19979352264224448,376.0,0.692,0.6949803857304515,CLOBOT
267260.KS,0.08765213345892382,0.1437654407912325,174.08,0.498,0.6096884826876229,"HD Hyundai Electric Co., Ltd."
079900.KS,0.1566804961756341,0.2693171905186632,473.54,0.933,0.5817693845457533,JUNJIN C&R
211050.KQ,0.06388025508107839,0.11639616366612912,110.24,0.403,0.5488175303123614,"INCAR FINANCIAL SERVICE Co., Ltd."
376270.KQ,0.09683969842019298,0.18120077326948508,203.19,0.628,0.534433141056033,HEM Pharma Inc.
473980.KQ,0.08682945293949536,0.16440182398948933,171.6,0.57,0.5281538296378427,Knowmerce
435620.KQ,0.00670835981241969,0.012876828595583124,8.35,0.045,0.5209636645098097,Hana Financial Twenty-five Special Purpose Acquisition Company
000815.KS,0.023256141706938162,0.04654022379589926,31.77,0.161,0.499699825444056,"Samsung Fire & Marine Insurance Co., Ltd."
489790.KS,0.10822537657350287,0.22831217205466267,243.19,0.791,0.47402368257261146,"Hanwha Vision CO.,LTD"
