Ticker,mean,std,Return,Risk,sharpe,Name
GLINT.LS,0.028445048299456068,0.0758514454733321,40.01,0.263,0.37500997010606474,"Glintt Global, S.A."
BCP.LS,0.038483875252199415,0.10877404185613009,57.32,0.377,0.35379649956466713,"Banco Comercial Português, S.A."
NBA.LS,0.02343247686580441,0.07773651548060263,32.04,0.269,0.3014346182220047,"Novabase S.G.P.S., S.A."
EGL.LS,0.04003939036316505,0.14884525146601232,60.18,0.516,0.2690001190418072,"Mota-Engil, SGPS, S.A."
SNG.LS,0.052469438546618626,0.28722459590308946,84.72,0.995,0.18267738659930777,"Sonagi, S.G.P.S., S.A."
SCT.LS,0.02073455753490886,0.12101409949767732,27.92,0.419,0.17134001427087286,"Toyota Caetano Portugal, S.A."
SEM.LS,0.009853264411929137,0.06054615097610473,12.49,0.21,0.16273973246982862,"Semapa - Sociedade de Investimento e Gestão, SGPS, S.A."
ALTR.LS,0.009512631583862473,0.058764454846727626,12.03,0.204,0.16187730505921977,"Altri, SGPS, S.A."
MAR.LS,0.014843824019549198,0.10740112761978979,19.34,0.372,0.13820920085772048,"Martifer SGPS, S.A."
VAF.LS,0.006380650351619065,0.05592026615855605,7.93,0.194,0.11410264632016236,"Vista Alegre Atlantis, SGPS, S.A."
JMT.LS,0.007664397666820864,0.0755583287950588,9.6,0.262,0.10143683415245261,"Jerónimo Martins, SGPS, S.A."
SCP.LS,0.004305242984162138,0.04547471338603598,5.29,0.158,0.09467333961216694,"Sporting Clube de Portugal - Futebol, SAD"
MRL.LS,0.006708632562240994,0.07513697969964281,8.35,0.26,0.08928536373245897,"MERLIN Properties SOCIMI, S.A."
GALP.LS,0.007835377351097529,0.09046893528664461,9.82,0.313,0.08660848418599902,"Galp Energia, SGPS, S.A."
FCP.LS,0.0042212977612314856,0.07197216460423035,5.18,0.249,0.05865181052208297,"Futebol Clube do Porto - Futebol, S.A.D."
NVG.LS,0.0026848314240622492,0.04884985873782983,3.27,0.169,0.05496088409326532,"The Navigator Company, S.A."
SLBEN.LS,0.0020433126850947724,0.047686357245131844,2.48,0.165,0.042848999234542454,"Sport Lisboa e Benfica - Futebol, SAD"
MLFMV.LS,0.009938866789869166,0.24723557572648258,12.6,0.856,0.04019998643263445,"Farminveste, S.G.P.S., S.A."
ESON.LS,-0.0014808247314038285,0.07610004695298336,-1.76,0.264,-0.019458920075551615,"Estoril Sol, SGPS, S.A."
EDP.LS,-0.003683524914645916,0.06618976196636478,-4.33,0.229,-0.055650976906636236,"EDP, S.A."
COR.LS,-0.006588576500911987,0.04197581479779461,-7.63,0.145,-0.1569612533467283,"Corticeira Amorim, S.G.P.S., S.A."
EDPR.LS,-0.022494883273358468,0.09209937105861181,-23.89,0.319,-0.2442457859896001,"EDP Renováveis, S.A."
