Ticker,mean,std,Return,Risk,sharpe,Name
ZKX.SI,0.20750336982139772,0.19302273272836923,860.86,0.669,1.0750203713746316,Ever Glory United Holdings Limited
TADD.SI,0.037761140577523014,0.051916807758374116,56.02,0.18,0.7273394148821137,t AIS TH SDR 10to1
PCT.SI,0.17019896971654214,0.2449395988601402,559.35,0.848,0.6948609800480863,PC Partner Group Limited
HSHD.SI,0.03653053324710092,0.05283309259849021,53.81,0.183,0.6914328018751044,HSBC Holdings plc
YLU.SI,0.01614785080931781,0.026106901827859727,21.19,0.09,0.6185280396651964,Lion-OCBC Securities APAC Financials Dividend Plus ETF
HBND.SI,0.03607226821310158,0.06499152570230941,53.0,0.225,0.5550303339289016,Bank of China Limited
BEC.SI,0.023292628784104093,0.04722323263429567,31.83,0.164,0.4932451144225125,BRC Asia Limited
ICU.SI,0.016298698008065937,0.03707625140719803,21.41,0.128,0.439599403646877,iShares MSCI Asia ex Japan Climate Action ETF
O39.SI,0.013979663342562766,0.03270735468162506,18.13,0.113,0.42741650856944774,Oversea-Chinese Banking Corporation Limited
BHU.SI,0.01736213960806829,0.04180095185047061,22.94,0.145,0.41535273335821943,SUTL Enterprise Limited
YLD.SI,0.010174380822081115,0.026102993719611806,12.92,0.09,0.3897783116898526,Lion-OCBC Securities APAC Financials Dividend Plus ETF
URR.SI,0.04688651290560807,0.12180308846961528,73.3,0.422,0.3849369789773785,Sim Leisure Group Ltd.
D05.SI,0.017160845476771824,0.0446713306844946,22.65,0.155,0.3841579199414435,DBS Group Holdings Ltd
ZB9.SI,0.06979560206133721,0.18179995952781064,124.7,0.63,0.38391428822436185,Union Steel Holdings Limited
AWZ.SI,0.023235462799153308,0.06102237285408668,31.74,0.211,0.3807695720832204,Multi-Chem Limited
U96.SI,0.029829474523355146,0.08120343100267394,42.29,0.281,0.3673425390409045,Sembcorp Industries Ltd
Q01.SI,0.00523267969453337,0.014278676012473545,6.46,0.049,0.36646812981555243,QAF Limited
F03.SI,0.03676518125205315,0.10050163501293745,54.23,0.348,0.36581674763122424,Food Empire Holdings Limited
T6I.SI,0.016713563650189438,0.0458535188804677,22.01,0.159,0.3644990408208113,ValueMax Group Limited
S41.SI,0.005405479442881057,0.015104387219002568,6.68,0.052,0.35787479256891114,Hong Leong Finance Limited
500.SI,0.005933289481542232,0.016832260870713035,7.36,0.058,0.3524951001600589,Tai Sin Electric Limited
TDED.SI,0.07361122034588241,0.21571512227840314,134.51,0.747,0.34124274445107916,t Delta TH SDR 1to1
BN4.SI,0.0177633059478281,0.05235940759112475,23.53,0.181,0.33925719875484406,Keppel Ltd.
P52.SI,0.01712318693210874,0.050491142188939644,22.6,0.175,0.339132493141731,Pan-United Corporation Ltd
