Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
DSTKF.IS,0.3824874459432879,0.034354380017255916,4774.55,0.119,11.133586044957518,,,,DESTEK FINANS FAKTORING
VSNMD.IS,0.695341587981333,0.3316090417479483,56275.0,1.149,2.0968716182047085,,,,Visne Madencilik AS
EFORC.IS,0.15358669662979685,0.1109725919716939,455.4,0.384,1.3840056711388038,,,,EFOR CAY SANAYI
IZFAS.IS,0.12348527815618408,0.17639665640263424,304.4,0.611,0.7000431905824945,0.18870826815747693,0.189,Yes,Izmir Firça Sanayi ve Ticaret Anonim Sirketi
GRSEL.IS,0.1247128446486188,0.20193840180244707,309.73,0.7,0.6175786454456704,0.9429473681822008,0.943,Yes,Gür-Sel Turizm Tasimacilik ve Servis Ticaret A.S.
TBORG.IS,0.07518568245150356,0.12271068381482741,138.67,0.425,0.6127068981618592,0.2421723744908879,0.242,Yes,Türk Tuborg Bira ve Malt Sanayii A.S.
BMSTL.IS,0.07523255598348842,0.1264259188751646,138.8,0.438,0.5950722498428072,0.2810194319281062,0.281,Yes,Bms Birlesik Metal Sanayi ve Ticaret A.S.
MGROS.IS,0.07994663247000192,0.13925822666645832,151.67,0.482,0.5740891176324151,1.0043520208601657,1.004,Yes,Migros Ticaret A.S.
DCTTR.IS,0.11899857477260506,0.21307030669660396,285.44,0.738,0.5584944078672119,,,,DCT TRADING DIS TICARET
MPARK.IS,0.07339865895847983,0.1315771774955227,133.96,0.456,0.5578373115731065,0.795690057460468,0.796,Yes,MLP Saglik Hizmetleri A.S.
BULGS.IS,0.18014631635030276,0.33064666384882124,629.84,1.145,0.5448302857598755,,,,BULLS GSYO
TCKRC.IS,0.0516666533084654,0.09489075836704329,83.04,0.329,0.5444856190169289,,,,KIRAC GALVANIZ
EGEGY.IS,0.057452121329662854,0.10930322121899747,95.49,0.379,0.5256214838769764,,,,EGEYAPI AVRUPA GMYO
BIMAS.IS,0.057546177952588325,0.11148176577425474,95.7,0.386,0.5161936353709771,0.6644867380804456,0.664,Yes,BIM Birlesik Magazalar A.S.
RYSAS.IS,0.10317797462113326,0.20400973699888686,224.9,0.707,0.5057502457429089,0.9861698217462654,0.986,Yes,Reysas Tasimacilik ve Lojistik Ticaret A.S.
RYGYO.IS,0.0952184747168942,0.18938353627579763,197.86,0.656,0.5027811635021343,1.4028751289330528,1.403,Yes,Reysas Gayrimenkul Yatirim Ortakligi A.S.
PGSUS.IS,0.06825657763025088,0.13907956715360642,120.85,0.482,0.49077358397919735,1.033438762089901,1.033,Yes,Pegasus Hava Tasimaciligi Anonim Sirketi
CLEBI.IS,0.08629330103820897,0.17675074553762188,170.0,0.612,0.48822029449285237,0.6591693077910789,0.659,Yes,Çelebi Hava Servisi A.S.
